# Taxa	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
Eubacterium_brachy	0.0015429	0	0	0	0.0069393	0	0	0	0	0	0	0	0.0006215	0	0	0	0	0	0	0.0020139	0.0007448	1.19E-05	0	0	0	0.0004364	0	0.0004467	0	0	0	0	0	0.0054469
Sphingobacterium_unclassified	0	0	0	0.0002746	0	0	0	0.0049128	0	0.0008163	0	0	0	0	0	0	0	0.0063976	0	0	0	0	0	0	0	0	0	0	0	0.0011954	0	0.0042156	0	0
Capnocytophaga_gingivalis	0.0008523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004476	0.000497	0	0	0	0	0.0102912	0	0	0	0	0	0	0	0.0056591
Microbacterium_barkeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173852	0	0	0	0
Prevotella_salivae	0	0	0.0040098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013632	7.55E-05	0	0	1.66E-05	0.0002593	0	0.0114451	0	0	0	0	0	0
Acinetobacter_parvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120438	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048565	0	4.12E-05	0	0
Streptococcus_mutans	0	0	7.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003991	0	0	0.0066059	0.0062109	0.0021738	0	0	4.91E-05	0	0	0	0	0	0	0	0	0
Johnsonella_ignava	0	0	0	0	0.0155031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_oral_taxon_082	0	0	0.0016414	0	0.0004844	0	0	0	0	0	0	0	0.0023812	0	0	0.0022318	0.0001841	0	0	0	2.98E-05	0	8.57E-05	0	0.0001385	0	0	0.0079375	0	0	0	0	0	0
Agrobacterium_tumefaciens	0	0	0	0.0137499	0	0	0	0.0006786	0	0.0001868	0	0	0	0	0	0	0	0	0	0	0	0	0.0002184	0	0	0	0	0	0	0	0	0.0001365	0	0
Kingella_denitrificans	0	0	0.0003006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002328	0	0	0	0	0	0	0	0	0.0037975	0	0	0	0	0	0	0	0.0083802
Fusobacterium_periodonticum	0.0005728	0	0	0	0.0031598	0	0	0	0	0	0	0	0.0063211	0	0	0	0	0	0	0.0002119	0	0	0	0.000335	0	0	0	0.0030743	0	0	0	0	0	0.0010897
Leptotrichia_wadei	0	0	0.0004101	0	0	0	0	0	0	0	0	0	0.0017452	0	6.12E-05	0.001554	0	0	0	0.0017369	0.0003335	0	0	0	0.0001594	0.0006136	0	0.0056552	0	0	0.001639	0	0	0
Prevotella_pallens	0.001222	0	0	0	0	0.0046742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002634	0	0	0	0.0010055	0	0	0.0065975	0	0	0	0	0	0
Alloscardovia_omnicolens	0	0	0.0132576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001682	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium_propionicum	0.0005616	0	0	0	0.0017439	0	9.81E-05	0	0	0	0	0	0	0	0.0002061	0	8.88E-05	0	0	0.0042403	0.0007942	0.0002547	0	0	0	0.0029175	0	0.000957	0	0	0	0	0	0.0014604
candidate_division_TM7_single_cell_isolate_TM7b	0	0	8.07E-05	0	0.0004048	0	0	0	0	0	0	0	0	0	0	0.0013643	0	0	0	0	0.0001866	0	0	0	0	0.0059126	0	0.0019055	0	0	0	0	0	0.0033944
Kingella_oralis	0.0012339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016619	0.0003924	0.0001138	0	0	0.0019178	0.0020261	0.0016325	0	0	0.0009744	0.0016245	0	0	0	0	0	0	0	0
Achromobacter_unclassified	0	0	0	0.0090126	0	0	0	0.0021816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001497	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium_gleum	0	0	0	0.0008361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_noxia	0	0	0	0	0.0013195	0	0	0	0	0	0	0	0	0	0	0.0024243	0	0	0	0.0005582	0.0007362	0	0	0	0	0.0014182	0	0.0039985	0	0	0	0	0	0
Aggregatibacter_aphrophilus	0	0	0	0	7.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097683
Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097364	0	0	0	0	0	0	0	0
Parvimonas_unclassified	0.0005009	0	0.0001005	0	0.0040492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001128	4.64E-05	0	0	0	0	0.0005785	0	0.0001394	0	0	0	0	0	0.0041952
Prevotella_denticola	3.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050468	0.0023897	0.0008288	0	0	0	0.0007909	0	0.0004675	0	0	0	0	0	0
Ochrobactrum_anthropi	0	0	0	0.0077528	0	0	0	0	0	0	0	0	0	0.0015191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001876	0	0
Dialister_invisus	0.0001052	0	0.0002625	0	0.0043322	0	0.0003221	0	0	0	0	0	0	0	0	0.0003396	0	0	0	0.0008621	6.11E-05	0	0	0	0	0.0001221	0	0.0023872	0	0	0	0	0	0.0003052
Roseomonas_sp_B5	0	0	0	0	0	0	0	0	0.0089621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_nigrescens	2.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007618	0	0	0	0.0004995	0.002205	0.0001142	0	0	3.78E-05	0.0013524	0	0.0001259	0	0	0.0027088	0	0	0.0005477
Streptococcus_peroris	0.0014375	0	0.0066928	0	0	0	0	0	0	0	0	0	0	0	8.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.25E-05	0	0	0	0	0	0
Oribacterium_sp_oral_taxon_078	0	0	0	0	0.0035661	0	0	0	0	0	0	0	0	0	0	0.0029732	0	0	0	0.0010237	7.30E-05	0	0	0	0	0.0002246	0	0	0	0	0	0	0	0
Porphyromonas_catoniae	0.0013262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005224	0	0	0	0	0	0	0	0.0012147
Peptostreptococcus_stomatis	0.0006613	0	0.000365	0	9.32E-05	0	0	0	0	0	0	0	0.0046682	0	0	0	0	0	0	0.0004473	0	0	9.89E-05	0	0	6.58E-05	0	0.0013516	0	0	0	0	0	0
Prevotella_oris	0.0013008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004001	0	0	0	0	0.0041843	0.00106	0	0	0	0.0005386	0	0.0001932	0	0	0	0	0	0
Veillonella_sp_oral_taxon_780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076523	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_sp_GMD5S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075594	0	0	0	0	0	0	0	0
Neisseria_meningitidis	0.0001766	0	0	0	0	0	0	0	1.43E-05	0	4.14E-05	0	0	0	7.66E-05	0	0.00039	0	0	0	0.000515	4.36E-05	0	0	0	0.0016715	0	0.0002998	0	0	0	0	0	0.0041072
Alicycliphilus_unclassified	0	0	0	0	0	0	0	0.0066052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_subflava	0.0021048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001454	0	0	0	0.000239	0	0	0.0003107	0	0.0002681	0	0.0034369	0	0	0	0	0	7.95E-05
Scardovia_wiggsiae	0	0	0.0004219	0	0	0	0.000757	0	0	0	0	0	0	0	0	0.0031578	0	0	0	0.0015474	0	0	0	0	9.35E-05	0.0004183	0	4.36E-05	0	0	0	0	0	0
Pseudomonas_geniculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062136	0	0	0	0	0	0	0	0	0	0
Rothia_unclassified	0	0	0.0059143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_mandelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006689	0.0052252	0	0	0	0
Streptococcus_oligofermentans	0	0	0	0	0.0046636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003992	0	0	0	0	0	6.37E-05	0	0.0002632	0	0	0	0	0	0.0004174
Eubacterium_infirmum	0.0001387	0	0.0001216	0	0.0008169	0	0	0	0	0	0	0	0	0	0	0	0.0001049	0	0	0.0018979	7.81E-05	0	0	0	0	0	0	0.0022211	0	0	0	0	0	0.0001704
Lachnospiraceae_oral_taxon_107	0	0	0	0	0.0041444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005272	0	0	0	0	0	0	0	0.000867	0	0	0	0	0	0
Agrobacterium_unclassified	0	0	0	0.0016494	0	0	0	0.0004795	0	0.0001516	0	0	0	0.0001635	0	0	0	0	0	0	0	0	0.0023196	0	0	0	0	0	0	0	0	0.0007243	0	0
Atopobium_rimae	0	0	0.0002922	0	0	0	0.0005408	0	0	0	0	0	0	0	0	0.0006969	0	0	0	0.0019568	0.0005126	0	0	0	0	7.63E-05	0	0.0009346	0	0	0	0	0	0
Eikenella_corrodens	0.0019324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001548	0	0	0.0002951	0.00102	0	0	0	0	0	0	0	0	0	0	0	0	0.0012932
Pseudomonas_monteilii	0	0	0	0.0046671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043902	0	0	0	0
Rhizobium_lupini	0	0	0	0.0002949	0	0	0	0.0004357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030505	0	0	0	0	0	0	0	0	0.0004404	0	0
Sphingopyxis_unclassified	0	0	0	0	0	0	0	0	0.0028239	0	0	0	0	0	0	0	0.0006096	0	0	0	0	0	0	0	0	0	0	0	0	0.0007748	0	0	0	0
Eubacterium_yurii	0	0	0	0	0.0002477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022294	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0.0016307
Campylobacter_gracilis	0	0	0	0	0.0021069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0	0	0	0	0	8.78E-05	0	0.0012609	0	0	0	0	0	0
Alloprevotella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43E-05	0.002891	0.0004274	0	0	0	0	0	0.0002011	0	0	0	0	0	0.000316
Neisseria_bacilliformis	0.0015719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000159	0	0	0	0.0018014	0.0001627	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-05	0	0	0	0	0	0	0.0036767	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_psychrotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036192	0	0	0	0
Capnocytophaga_granulosa	0	0	0	0	0.0002908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005404	0	0	0	0	0.0006173	0	0	0	0	0	0	0	0.0021691
Neisseria_macacae	6.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003848	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030848
Corynebacterium_lipophiloflavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia_radicincitans	0	0	0	0	0	0	0	0.0034539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia_buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001276	0	0	0	0.0005084	0.0004959	0	0	0	0	4.06E-05	0	0.0011323	0	0	0	0	0	0
Blastomonas_unclassified	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033103	0	0	0	0
Selenomonas_artemidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023244	0	0	0	0	3.47E-05	0	0	0	0	0.0004407	0	0.000584	0	0	0	0	0	0
Haemophilus_sputorum	0.0016964	0	0	0	0	0	0	0	0	0	0.00071	0	0	0	0	0	0.0001354	0	0	0	0.0002808	0	0	0	0	0.0003551	0	8.20E-06	0	0	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_oulorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72E-05	0.0004109	0	0	0	0	7.22E-05	0	3.61E-05	0	0	0.0025165	0	0	0
Actinomyces_georgiae	0	0	0	0	0.0020056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209	0	0	0	0	0	0.0001959	0	0.0002365	0	0	0	0	0	0
Haemophilus_influenzae	0.0024082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001817	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024267	0	0
Methyloversatilis_universalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_haemolyticus	0.0016111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005478	9.64E-05	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_warneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021165	0	0	0	1.48E-05	0	0	0	0
Streptococcus_anginosus	0	0	0	0	0	0	0	0	2.10E-05	0	0	0	0	0	0	0	0	0	0	0.0007594	0	0	0	0	0	0.0010927	0	0.0001186	0	0.0001335	0	0	0	0
Chryseobacterium_taeanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017428	0	0	0	0
Acinetobacter_radioresistens	0	0	0	0	0	0	0	0	0	0	0.0021187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas_micra	0	0	0	0	6.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-05	0	0	0	0	0	0	0	0.0019996
Achromobacter_xylosoxidans	0	0	0	0.0020692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingella_unclassified	0	0	0.0008334	0	0	0	0	0	0	0	0	0	0	0	0	0.0011187	0	0	0	0	0	0	0	7.92E-05	0	0	0	0	0	0	0	0	0	0
Staphylococcus_epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00E-04	0	0.001623	0	0	0	0	0	0
Roseomonas_unclassified	0	0	0	0.0001457	0	0	0	0	0.0014267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003055	0	0
Citrobacter_koseri	0	0	0	0	0	0	0.0018479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus_unclassified	0	0	0	0	0	0	0	0.0018429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016059	0	0	0	0	0	0	0	0	0	0	0	0	0
Catonella_morbi	0.0002464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006583	1.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0006437
Cardiobacterium_valvarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011402	0.0001088	0	0	0	0	0	0	0.0003142	0	0	0	0	0	0
Porphyromonas_endodontalis	0	0	3.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008803	0	0	0	0	0	0	0	0.0006107
Selenomonas_sputigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55E-05	0	0	0.0008127	0	0	0	0	0	0.0001509	0	0.0004314	0	0	0	0	0	0
Campylobacter_concisus	0.0001458	0	0.0004175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001535	0	0	7.68E-05	0.0001301	0	0	0.0005143	0	0	0	0	0	0
Sphingobacterium_spiritivorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_veroralis	0.0007964	0	0.0001676	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11E-05	0	0	0	0.0001362	0.0001781	0	0	6.04E-05	0	0	0	0	0	0	0	0	0
Leptotrichia_hofstadii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93E-05	0	0	0	0	0.0003569	8.83E-05	0	0	0	0	0.0001878	0	0.0006849	0	0	0	0	0	0
Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001323	0	0
Aggregatibacter_segnis	0.0008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004677
Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004427
Streptococcus_constellatus	0.0004109	0	0.000262	0	0.0002761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.87E-05	0	0	3.56E-05	0	0	0	1.03E-05	0	0	0	0	0	0
Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_mosselii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_flueggei	0	0	1.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79E-05	0	0	0	0	0	0	0	0	0	0	0.0009343	0	0	0	0	0	0
Brevibacterium_casei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009941	0	0	0	0
Leptotrichia_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002516	0	0	0	0	0	0	0	0.0007265	0	0	0	0	0	0
Campylobacter_showae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92E-05	0	0	0	0	0.000297	0	0.0005627	0	0	0	0	0	0
Brucella_pinnipedialis	0	0	0	0.0006598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001617	0	0
Brevibacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004576	0	0	0	0.0003159	0	0	0	0
Alloprevotella_rava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007461	0	0	0	0	0	0
Bacteroidetes_oral_taxon_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43E-05	0	0	0	0	0.0007104	0	0	0	0	0	0	0	0
Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61E-05	0	0	0.0007037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli	0	0	0.0007126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia_unclassified	0	0	0	0	0	0	0.0002301	0	0	0	0	0	0	0	0	2.00E-04	0	0	0	0	0	0	0	0	0	0.0001664	0	4.52E-05	0	0	0	0	0	0
C2likevirus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006104	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_albicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fretibacterium_fastidiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_nitroreducens	0	0	0	0	0	0	0	4.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005233	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia_goodfellowii	0.0001692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003833
Actinobacillus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002477	0	0	0	0.0001124	0	0	0	0.0001704	0	0	0	0	0	0	0	0	0
Slackia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	5.83E-05	0	0	0	0	0	0
Microbacterium_maritypicum	0	0.0004349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afipia_unclassified	0	0	0	0	0	0	0	0.0004281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella_tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000401	0	0	0	0	0	0	0	0
Actinomyces_timonensis	0.0003817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_gonorrhoeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003563
Eubacterium_saphenum	0	0	0	0	0.000325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riemerella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Empedobacter_brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003074	0	0
Aggregatibacter_unclassified	0	0	6.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.50E-05	0	0	0	0	0	0.0001262	0	3.96E-05	0	0	0	0	0	0
Capnocytophaga_ochracea	0	0	0	0	0.0002264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus_denitrificans	0	0	0	0	0	0	0	0.0002226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_uli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002044	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_cinerea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0001591
Lactobacillus_vaginalis	0	0	0.0001865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_veronii	0	0	0	0	0	0	0.0001605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Filifactor_alocis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001389	0	0	0	0	0	0	0	0
Prevotella_intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001373	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001368	0	0
Shuttleworthia_satelles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001265	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_lactamica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001207
Lysinibacillus_sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	9.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium_unclassified	0	0	0	0	0	0	0	0	0	8.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_mendocina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79E-05	0	0
Treponema_lecithinolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07E-05	0	0	0	0	0	0	0	0
Tannerella_forsythia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70E-05	0	0	0	0	0	0	0	0
Pseudoxanthomonas_unclassified	0	0	0	0	0	0	0	0	6.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_infelix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63E-05	0	0	0	0	0	0
Enterococcus_gilvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
