	A10_count	A11_count	A16_count	A17_count	A18_count	A19_count	A22_count	A23_count	A2_count	A5_count	A7_count	A9_count	B12_count	B28_count	B29_count	B30_count	B32_count	B34_count	B35a_count	B35b_count	B37_count	B39_count	B42_count	B44_count	B47_count	B49_count	B51_count	B6_count	B8_count	C53_count	C54_count	C57_count	C60_count	C62_count	SRR059875_count	SRR059905_count	SRR060041_count	SRR060389_count	SRR061249_count	SRR061251_count	SRR061257_count	SRR062389_count	SRR1031063_count	SRR1031677_count	SRR1564324_count	SRR1565744_count	SRR1803853_count	SRR1803859_count	SRR1804260_count	SRR1804274_count	SRR1804292_count	SRR1804378_count	SRR1804718_count	SRR1804818_count	SRR1952524_count	SRR1952532_count	SRR1952557_count	SRR1952578_count	SRR2175813_count	SRR346700_count	SRR513376_count	SRR513802_count	SRR513813_count	SRR514204_count	SRR514244_count	SRR514849_count	SRR533811_count	SRR628262_count	marker_length	tb_avg	hmp_avg	tb_se	hmp_se	freq_all	freq_tmp	freq_hmp
gb|CDO13981_1|ARO_3003585|Klebsiella_mutant_PhoP_conferring_antibiotic_resistance_to_colistin__Klebsiella_pneumoniae_	0	0	969.3783086	0	0	0	0	0	0	0	15.25576519	324.0371748	0	0	0	13.23961276	108.9110386	0	11.18406589	775.6671738	0	310.9100322	438.1917788	0	0	0	0	287.4919718	0	0	0	0	1076.174233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	127.365916336471	0	48.4765942619902	0	0.161764705882353	0.323529411764706	0
gb|EEK14408_1|ARO_3003931|Capnocytophaga_gingivalis_gyrA_conferring_resistance_to_fluoroquinolones__Capnocytophaga_gingivalis_ATCC_33624_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.692460307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.069836107	2.098761962	37.93654997	0	0	0	0	0	6.05780317	0	0	0	0	0	4.560335501	9.556242428	0	0	0	0	7.247325896	0	0	0	6.916489148	0	0	0	0	1.573406698	43	0.0791900090294118	2.26519855529412	0.0791900090294118	1.16466297778822	0.147058823529412	0.0294117647058824	0.264705882352941
gb|NP_249118_1|ARO_3000379|OprM__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	6.979748113	0	0	0	22.04279388	0	0	0	0	0	0	2.531774722	0	0	0	0	0	0.94849167	0	0	92.04149851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3.66306784985294	0	2.76167661476684	0	0.0735294117647059	0.147058823529412	0
gb|NP_251182_1|ARO_3000814|MexT__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	2.420967398	0	0	0	10.68299788	0	0	0	0	0	0	0	0	0	0	0	0	1.491421385	0	0	45.57253454	0	3.692438348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	1.87824586914706	0	1.36572390858857	0	0.0735294117647059	0.147058823529412	0
gb|NP_251217_1|ARO_3004074|MuxB__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.40697731	0	0	0	0	0	0	0	0	0	0	0	0	0.72085367	4.212828997	0	153.3110123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	5.54857859638235	0	4.56683089944854	0	0.0588235294117647	0.117647058823529	0
gb|NP_251858_1|ARO_3003684|Pseudomonas_aeruginosa_gyrA_conferring_resistance_to_fluoroquinolones__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	10.86308836	0	0	0	65.75932421	0	5.054874811	0	0	0	0	0	1.819416746	0	0	0	0	0	0	0	139.0576075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	6.54571504785294	0	4.46329839574822	0	0.0735294117647059	0.147058823529412	0
gb|NP_252264_1|ARO_3000819|nalD__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	7.771240385	0	0	0	65.46680613	0	0.558387334	0	0	0	0	0	0	0	0	0.313808171	0	0	0	0	274.8415153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	10.26328698	0	8.2465988051304	0	0.0735294117647059	0.147058823529412	0
gb|NP_312864_1|ARO_3000830|cpxA__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	40.50464686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440.8297441	0	0	34.65743448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.904750827	34	15.17623016	0.0854338478529412	12.9905291416939	0.0854338478529412	0.0588235294117647	0.0882352941176471	0.0294117647058824
gb|NP_415434_1|ARO_3003950|msbA__Escherichia_coli_str__K-12_substr__MG1655_	34.27941549	194.9057864	374.2536508	5.036418087	0	102.6889868	380.1623017	0	0	120.960858	7.627882596	121.5139406	265.8147834	0	0	6.619806381	40.84163946	0	5.592032946	122.4737643	18.97579152	111.7332928	87.63835577	0	0	0	0	0	170.509618	0	0	5.77623908	225.649436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	70.6780588273529	0	18.4488736967451	0	0.294117647058824	0.588235294117647	0
gb|NP_415611_1|ARO_3004049|antibiotic_resistant_fabG__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	10.07283617	0	0	0	0	0	0	15.25576519	13.50154895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.2087279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	8.23643759441176	0	7.08942245741602	0	0.0588235294117647	0.117647058823529	0
gb|NP_415804_1|ARO_3004045|antibiotic_resistant_fabI__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	241.7480682	0	10.80936703	0	0	0	0	15.25576519	0	0	0	0	26.47922553	27.22775964	0	11.18406589	163.2983524	0	0	122.6936981	0	0	0	0	0	8.317542341	0	0	0	329.7953295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	28.1414462888529	0	12.8055363201758	0	0.147058823529412	0.294117647058824	0
gb|NP_417169_1|ARO_3000516|emrR__Escherichia_coli_str__K-12_substr__MG1655_	0	0	87.47758522	4.224092589	0	0	151.9313546	0	0	39.88202203	0	73.60521848	5.716446956	0	0	9.977679183	0	0	0	72.75995136	14.30059651	23.79700881	36.75156855	0	0	0	0	0	31.39201464	0	0	0	101.9061969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241742733	0	0	63	19.2271098772941	0.00711008038235294	6.27010051238725	0.00711008038235294	0.205882352941176	0.382352941176471	0.0294117647058824
gb|WP_000195296_1|ARO_3003316|Escherichia_coli_parE_conferring_resistance_to_fluoroquinolones__Proteobacteria_	0	0	0	0	0	266.9913656	778.7567149	0	0	235.8736731	0	0	1205.027018	0	0	17.21149659	0	0	0	26.53598226	0	0	0	0	0	0	0	0	519.0146421	0	0	30.03644322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	90.5719804638235	0	44.0571664241263	0	0.117647058823529	0.235294117647059	0
gb|WP_000420313_1|ARO_3000616|mel__Bacteria_	0	0	0	0	0	0	0	0	99.53819586	0	61.97654609	0	66.45369586	0	0	0	0	0	27.26116061	0	30.83566122	7.894200037	0	73.6863782	0	27.97642908	6.746875684	233.5872271	0	0	0	0	14.10308975	66.92544505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	21.0877913100294	0	7.91558211223586	0	0.176470588235294	0.352941176470588	0
gb|WP_014065640_1|ARO_3003924|Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	23.45433692	133.3565907	0	0	0	0	0	335.9905708	10.83202335	0	1.437137301	0	0	0	0	0	0	0	50.23872161	1.922897265	0	0	59.96308553	25.85486954	0	6.188531222	0	0	0	0	0	0	0	14.08956738	3.477832401	0	12.12034475	0	1.520293415	0.730004161	0	0	97.10886313	26.05400847	24.36380976	0	0	269.1876992	0.542235146	35.61274614	7.473020366	57.29679891	20.45367868	0	10.60759074	5.062897515	18.25659309	0	2.28862923	1.378573432	5.876332251	53.13227814	10.92077234	93.67135265	30.19888882	2.086621483	0	17.09504577	46	19.5096568122941	23.7210855879412	10.5731610527968	8.58318545863379	0.529411764705882	0.323529411764706	0.735294117647059
gb|WP_041918279_1|ARO_3003925|Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	0	0	0	0	0	0	0	0	20.41809146	0	0	0	0	0	0	0	0	0	190.1291202	0	0	0	122.6936981	0	0	0	0	0	0	0	0	0	0	0	0	46.03840026	17.71435001	0	4.443934597	7.749274937	0	0	0	0	0	0	0	0	11.51206926	0	8.125340825	167.4829507	28.06360308	0	11.17216426	7.399619445	0	0	6.689839289	21.9511308	53.87322784	69.15062918	9.576677282	276.2103989	151.7703692	5.132384172	0	49.38076406	102	9.80120322823529	28.0422684734412	6.5647442248587	10.1278151254277	0.323529411764706	0.0882352941176471	0.558823529411765
gb|YP_001693238|ARO_3003923|oqxB__Escherichia_coli_	68.55883098	0	957.1076971	10.07283617	0	172.9498725	506.8830689	0	20.41809146	241.921716	106.7903563	486.0557623	354.4197113	0	0	79.43767658	136.1387982	0	11.18406589	785.8733208	0	408.0694173	297.9704096	0	0	0	0	0	41.5877117	0	0	23.10495632	1197.677776	41.18488926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	174.923734254706	0	51.1527703558821	0	0.294117647058824	0.588235294117647	0
gb|YP_008997285_1|ARO_3000615|mefA__Exiguobacterium_sp__S3-2_	74.2720669	70.3826451	4.431054153	0	1.342892796	0	0	531.9850704	129.0309946	0	74.37185531	0	54.14745589	25.28917156	1.305883659	0	24.58061634	32.01420714	34.32886892	7.371106184	10.27855374	28.0682668	22.15302882	100.9776294	210.5589413	49.73587391	0	103.8165454	0	1.712532113	87.52159158	0	3.134019944	74.36160562	13.33169087	116.3748451	22.38897015	32.04934676	2.40713124	5.596698566	0.90325119	24.70914861	0	9.681634101	12.85867737	0	0	0	25.98210075	18.79561602	5.868301707	0	6.080447334	5.733745457	17.14616876	5.344169599	29.64273793	19.07243283	4.227606773	35.67058755	19.45422116	7.134588725	1.152748191	12.4678305	22.64709366	4.865072496	7.072448693	9.964909087	30	51.6815434582059	14.6654182699706	16.7201794036246	3.54550308592056	0.794117647058823	0.735294117647059	0.852941176470588
gb|YP_208874_1|ARO_3003930|rpsJ__Neisseria_gonorrhoeae_FA_1090_	7.553091549	42.94534278	0	0	0	0	0	0	62.98462111	0	0	0	0	30.86136191	9.561724417	0	2.999668435	198.596607	11.08928567	6.746436168	4.181106606	11.77440005	0	38.30026437	0	18.96707056	0	126.6913774	0	0	0	1.272730645	0	27.22390985	8.134591039	25.36013574	58.54742801	29.33330043	10.28130631	21.34334199	28.6590886	15.07676864	141.1639533	2.362975103	0	73.97693961	35.11472346	104.025077	8.243812306	22.93702294	17.90329334	0	127.9985693	37.60948291	25.84746477	44.83667715	56.84515361	5.81870832	27.26959913	6.448919782	0	116.450999	68.57874833	27.38696328	48.36497967	7.350618009	17.26156969	164.1676548	69	17.6984999564706	40.7264666343824	6.97950597669268	7.41985624562106	0.691176470588235	0.470588235294118	0.911764705882353
gb|YP_489794_1|ARO_3000263|marA__Escherichia_coli_str__K-12_substr__W3110_	0	0	4.431054153	0	0	66.35750316	166.4010075	0	0	65.52046476	0	4.875559344	251.0472955	0	0	0	0	0	0	11.05665928	13.70473832	0	0	0	0	0	0	0	120.1422783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	20.6922517740294	0	9.42368615155578	0	0.132352941176471	0.264705882352941	0
